name;module;shape;partitioning_ranks;precs
module.tied_modules.embed.word_embeddings;VocabParallelEmbedding();(12672, 1024);0;[]
module.tied_modules.embed.position_embeddings;Embedding(1024, 1024);(1024, 1024);0;[]
module.6.input_layernorm;FusedLayerNorm(torch.Size([1024]), eps=1e-05, elementwise_affine=True);(1024,);0;[]
module.6.input_layernorm;FusedLayerNorm(torch.Size([1024]), eps=1e-05, elementwise_affine=True);(1024,);0;[]
module.6.attention.query_key_value;ColumnParallelLinear();(768, 1024);0;[torch.Size([384, 384]), torch.Size([1024, 1024]), torch.Size([384, 384]), torch.Size([1024, 1024])]
module.6.attention.query_key_value;ColumnParallelLinear();(768,);0;[]
module.6.attention.dense;RowParallelLinear();(1024, 256);0;[torch.Size([1024, 1024]), torch.Size([128, 128]), torch.Size([1024, 1024]), torch.Size([128, 128])]
module.6.attention.dense;RowParallelLinear();(1024,);0;[]
module.6.post_attention_layernorm;FusedLayerNorm(torch.Size([1024]), eps=1e-05, elementwise_affine=True);(1024,);0;[]
module.6.post_attention_layernorm;FusedLayerNorm(torch.Size([1024]), eps=1e-05, elementwise_affine=True);(1024,);0;[]
module.6.mlp.dense_h_to_4h;ColumnParallelLinear();(1024, 1024);0;[torch.Size([512, 512]), torch.Size([1024, 1024]), torch.Size([512, 512]), torch.Size([1024, 1024])]
module.6.mlp.dense_h_to_4h;ColumnParallelLinear();(1024,);0;[]
module.6.mlp.dense_4h_to_h;RowParallelLinear();(1024, 1024);0;[torch.Size([1024, 1024]), torch.Size([512, 512]), torch.Size([1024, 1024]), torch.Size([512, 512])]
module.6.mlp.dense_4h_to_h;RowParallelLinear();(1024,);0;[]
module.7.input_layernorm;FusedLayerNorm(torch.Size([1024]), eps=1e-05, elementwise_affine=True);(1024,);0;[]
module.7.input_layernorm;FusedLayerNorm(torch.Size([1024]), eps=1e-05, elementwise_affine=True);(1024,);0;[]
module.7.attention.query_key_value;ColumnParallelLinear();(768, 1024);0;[torch.Size([384, 384]), torch.Size([1024, 1024]), torch.Size([384, 384]), torch.Size([1024, 1024])]
module.7.attention.query_key_value;ColumnParallelLinear();(768,);0;[]
module.7.attention.dense;RowParallelLinear();(1024, 256);0;[torch.Size([1024, 1024]), torch.Size([128, 128]), torch.Size([1024, 1024]), torch.Size([128, 128])]
module.7.attention.dense;RowParallelLinear();(1024,);0;[]
module.7.post_attention_layernorm;FusedLayerNorm(torch.Size([1024]), eps=1e-05, elementwise_affine=True);(1024,);0;[]
module.7.post_attention_layernorm;FusedLayerNorm(torch.Size([1024]), eps=1e-05, elementwise_affine=True);(1024,);0;[]
module.7.mlp.dense_h_to_4h;ColumnParallelLinear();(1024, 1024);0;[torch.Size([512, 512]), torch.Size([1024, 1024]), torch.Size([512, 512]), torch.Size([1024, 1024])]
module.7.mlp.dense_h_to_4h;ColumnParallelLinear();(1024,);0;[]
module.7.mlp.dense_4h_to_h;RowParallelLinear();(1024, 1024);0;[torch.Size([1024, 1024]), torch.Size([512, 512]), torch.Size([1024, 1024]), torch.Size([512, 512])]
module.7.mlp.dense_4h_to_h;RowParallelLinear();(1024,);0;[]
module.8.input_layernorm;FusedLayerNorm(torch.Size([1024]), eps=1e-05, elementwise_affine=True);(1024,);0;[]
module.8.input_layernorm;FusedLayerNorm(torch.Size([1024]), eps=1e-05, elementwise_affine=True);(1024,);0;[]
module.8.attention.query_key_value;ColumnParallelLinear();(768, 1024);0;[torch.Size([384, 384]), torch.Size([1024, 1024]), torch.Size([384, 384]), torch.Size([1024, 1024])]
module.8.attention.query_key_value;ColumnParallelLinear();(768,);0;[]
module.8.attention.dense;RowParallelLinear();(1024, 256);0;[torch.Size([1024, 1024]), torch.Size([128, 128]), torch.Size([1024, 1024]), torch.Size([128, 128])]
module.8.attention.dense;RowParallelLinear();(1024,);0;[]
module.8.post_attention_layernorm;FusedLayerNorm(torch.Size([1024]), eps=1e-05, elementwise_affine=True);(1024,);0;[]
module.8.post_attention_layernorm;FusedLayerNorm(torch.Size([1024]), eps=1e-05, elementwise_affine=True);(1024,);0;[]
module.8.mlp.dense_h_to_4h;ColumnParallelLinear();(1024, 1024);0;[torch.Size([512, 512]), torch.Size([1024, 1024]), torch.Size([512, 512]), torch.Size([1024, 1024])]
module.8.mlp.dense_h_to_4h;ColumnParallelLinear();(1024,);0;[]
